OldData,OldDat2,Strain,Rep,AssayTemp,AssayLight,TargetOchConc,Pred,D1Date,VolOch,VolK,X,D1OchPop,D2OchPop,D3OchPop,D4OchPop,X.1,D1PredPop,D2PredPop,D3PredPop,D4PredPop,X.2,Scope,Run
,,584,A,24,100,0,Control,1/30/24,NA,NA,NA,741,228,969,4883,NA,0,0,0,0,NA,MD,1
,,584,A,24,100,25000,Control,1/30/24,NA,NA,NA,20511,15726,24557,33501,NA,0,0,0,0,NA,MD,1
,,584,A,24,100,50000,Control,1/30/24,NA,NA,NA,49282,31967,57264,63883,NA,0,0,0,0,NA,MD,1
,,584,A,24,100,75000,Control,1/30/24,NA,NA,NA,76973,48726,77484,87685,NA,0,0,0,0,NA,MD,1
,,584,A,24,100,100000,Control,1/30/24,NA,NA,NA,107225,76510,89041,85538,NA,0,0,0,0,NA,MD,1
,,584,A,24,100,125000,Control,1/30/24,NA,NA,NA,125564,105118,100437,102322,NA,0,0,0,0,NA,MD,1
,,584,A,24,100,0,O.marina,1/30/24,NA,NA,NA,1140,570,1254,8465,NA,1458,2160,700,800,NA,MD,1
,,584,A,24,100,25000,O.marina,1/30/24,NA,NA,NA,18804,6670,7408,9543,NA,850,1840,1080,1100,NA,MD,1
,,584,A,24,100,50000,O.marina,1/30/24,NA,NA,NA,51112,14873,14511,24335,NA,817,1650,1150,1040,NA,MD,1
,,584,A,24,100,75000,O.marina,1/30/24,NA,NA,NA,67076,37895,16466,28909,NA,930,2590,1290,1130,NA,MD,1
,,584,A,24,100,100000,O.marina,1/30/24,NA,NA,NA,102270,39941,29403,64805,NA,1120,1530,1190,1470,NA,MD,1
,,584,A,24,100,125000,O.marina,1/30/24,NA,NA,NA,133891,51685,42801,55650,NA,1280,2110,1925,1620,NA,MD,1
,,584,B,24,100,0,Control,1/30/24,NA,NA,NA,627,513,684,3889,NA,0,0,0,0,NA,MD,1
,,584,B,24,100,25000,Control,1/30/24,NA,NA,NA,18063,25240,20337,30604,NA,0,0,0,0,NA,MD,1
,,584,B,24,100,50000,Control,1/30/24,NA,NA,NA,40119,33448,44606,56325,NA,0,0,0,0,NA,MD,1
,,584,B,24,100,75000,Control,1/30/24,NA,NA,NA,63817,83496,75490,70776,NA,0,0,0,0,NA,MD,1
,,584,B,24,100,100000,Control,1/30/24,NA,NA,NA,74919,68089,93327,85188,NA,0,0,0,0,NA,MD,1
,,584,B,24,100,125000,Control,1/30/24,NA,NA,NA,99753,108596,133311,84156,NA,0,0,0,0,NA,MD,1
,,584,B,24,100,0,O.marina,1/30/24,NA,NA,NA,855,513,570,7896,NA,1270,2030,970,1000,NA,MD,1
,,584,B,24,100,25000,O.marina,1/30/24,NA,NA,NA,18006,5641,6040,11159,NA,760,2220,1330,1040,NA,MD,1
,,584,B,24,100,50000,O.marina,1/30/24,NA,NA,NA,39778,17609,11567,19394,NA,1350,1060,1150,1400,NA,MD,1
,,584,B,24,100,75000,O.marina,1/30/24,NA,NA,NA,65409,21372,14586,32711,NA,1060,1700,1620,1750,NA,MD,1
,,584,B,24,100,100000,O.marina,1/30/24,NA,NA,NA,90588,16181,41085,48366,NA,1030,1220,1500,1600,NA,MD,1
,,584,B,24,100,125000,O.marina,1/30/24,NA,NA,NA,116404,34816,47294,37855,NA,1130,1330,1790,2788,NA,MD,1
,,584,C,24,100,0,Control,1/30/24,NA,NA,NA,684,741,570,2811,NA,0,0,0,0,NA,MD,1
,,584,C,24,100,25000,Control,1/30/24,NA,NA,NA,18746,21482,20281,38581,NA,0,0,0,0,NA,MD,1
,,584,C,24,100,50000,Control,1/30/24,NA,NA,NA,42569,47856,60785,73787,NA,0,0,0,0,NA,MD,1
,,584,C,24,100,75000,Control,1/30/24,NA,NA,NA,65063,50648,55490,78243,NA,0,0,0,0,NA,MD,1
,,584,C,24,100,100000,Control,1/30/24,NA,NA,NA,96565,75999,86817,117100,NA,0,0,0,0,NA,MD,1
,,584,C,24,100,125000,Control,1/30/24,NA,NA,NA,105514,105420,96761,125985,NA,0,0,0,0,NA,MD,1
,,584,C,24,100,0,O.marina,1/30/24,NA,NA,NA,912,855,3533,8408,NA,1260,1160,1030,867,NA,MD,1
