ExptGroup,Expt,Strain,Media,Bact,Light,Temp,Rep,Bact.short,Growth.Rate,Fv.Fm,P.est,a.est,Pmax,Pmax.err,Pmax.p,a,a.err,a.p,Ek,P_I,P_I.C,FSC.mean,FSC.stdev,REDF.mean,REDF.stdev,REDF.samedayaschl,chl.percell,TotC.perday,Base.Bact,Best.fit,Best.a,Best.g,Max.Rate.Scaled,Max.YellowF.Scaled,graz.rate.C,prop.C.phot,prop.C.het,Bact.short.2,Active.Chl,C.perOch,C.perOch.se,C.perOch.sd,N.perOch,N.perOch.se,N.perOch.sd,chl.to.C,P_I.perC,P_I.percell,attack.per.C,graz.per.C,Strain.Bact.Light,C.from.grazing,attack.per.C.scaled,C.from.grazing.perCperday,CUE,C.eff.phot,C.eff.phag,N.from.grazing.perCperday,N.from.grazing.perNperday,N.deficit,TotalNinOch.pgNpermL,TotalNinOch.molperL
Photoacc,1,590,fswK,Xenic,25,24,A,X,0.4215,0.516,263.674489,1.82121408,240.521529,8.24E+00,3.16E-10,1.61418071,1.27E-01,4.67E-07,149.00533,39.9800752,0.69092686,7948.50522,167.42043,10968.5925,514.886886,10869.8048,0.43521371,12.254552,1610666.67,TypeII,1.11E-06,42.7233098,1.29635675,151.591804,4.27233098,0.55773632,0.44226368,X,0.22457028,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,32.0402733,0.26564983,3.60841014,8.17E-08,3.14527434,590.X.25,0.357302,1.96122699,0.357302,0.67661733,1.58667523,1.17967435,0.03537644,0.50243613,0.19201928,191280,1.37E-05
Photoacc,1,590,fswK,Xenic,25,24,B,X,0.4444,0.496,259.280003,1.73362309,233.968219,7.44E+00,1.63E-10,1.59893851,1.18E-01,2.78E-07,146.327215,39.589013,0.68416861,7859.71171,151.354609,11126.5629,579.324914,11154.6284,0.44627899,13.1891443,1610666.67,TypeII,1.11E-06,42.9130036,1.51114422,162.331081,4.29130036,0.54998954,0.45001046,X,0.22135438,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,32.8548951,0.26973946,3.66396094,8.17E-08,3.15923953,590.X.25,0.35888844,1.96122699,0.35888844,0.7069365,1.64751574,1.23826782,0.03553351,0.50466697,0.13561425,191280,1.37E-05
Photoacc,1,590,fswK,Xenic,25,24,C,X,0.3516,0.51,240.366597,1.59112212,229.315783,6.51E+00,5.95E-11,1.4962793,9.55E-02,7.71E-08,153.257338,37.0786822,0.64078563,7769.94837,198.875053,11130.9875,885.104858,11600.174,0.44658892,11.7828539,1610666.67,TypeII,1.01E-06,39.0001118,1.30959998,167575.866,3.90001118,0.55809034,0.44190966,X,0.22776035,13.5833333,2.0402782,4.99764051,0.9564,0.19150159,0.42821058,32.8777118,0.25281078,3.43401312,7.44E-08,2.87117387,590.X.25,0.32616428,1.78453988,0.32616428,0.60728004,1.39076347,1.07798437,0.03229349,0.45865045,0.30446657,191280,1.37E-05
Photoacc,1,590,fswK,Rice,25,24,A,R,0.6428,0.519,406.540196,2.2032678,388.14271,1.06E+01,4.16E-11,2.01674439,0.10070871,8.98E-09,192.460042,50.1369353,0.86645549,9019.84638,589.742676,16091.3342,497.602331,11952.8,0.45055635,51.3747772,27424242.4,TypeI,5.50E-07,362.02582,14.9120417,36889.7527,36.202582,0.12916684,0.87083316,R,0.23383875,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,15.7511485,0.16377203,4.68464428,1.92E-08,12.6561803,590.R.25,1.43773738,0.46146316,1.43773738,0.40137135,3.92496818,0.44709139,0.14235024,0.83574338,0.30016083,974433.333,6.96E-05
Photoacc,1,590,fswK,Rice,25,24,B,R,0.6066,0.514,421.565423,2.24954868,408.204356,1.16E+01,5.85E-11,1.98608054,9.59E-02,6.70E-09,205.53263,49.4085848,0.85386829,9101.62512,488.043287,16242.9316,1972.5237,11975.92,0.45400388,49.1007231,27424242.4,TypeI,5.21E-07,343.017511,14.3768749,39687.2608,34.3017511,0.13865404,0.86134596,R,0.23335799,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,15.8716717,0.16262781,4.65191421,1.82E-08,11.9916626,590.R.25,1.36224841,0.43713147,1.36224841,0.39780278,3.72998943,0.44529323,0.13487608,0.79186235,0.30541105,974433.333,6.96E-05
Photoacc,1,590,fswK,Rice,25,24,C,R,0.6051,0.512,391.854165,2.10800412,380.925365,1.13E+01,8.52E-11,1.85040851,0.09307115,9.57E-09,205.860146,46.0341299,0.79555171,8953.69423,518.194613,15114.6806,255.237966,11817.77,0.42834595,49.7753684,27424242.4,TypeI,5.31E-07,349.644175,14.5947642,711682.976,34.9644175,0.13282702,0.86717298,R,0.21931313,28.6046667,4.43700514,10.8683986,4.87216667,0.799343,1.95798247,14.9746877,0.14295766,4.08925621,1.86E-08,12.2233263,590.R.25,1.38856533,0.44552171,1.38856533,0.39509691,4.23272178,0.43577352,0.13748172,0.80716012,0.33392848,974433.333,6.96E-05
Photoacc,1,1392,fswK,Xenic,25,24,A,X,0.5353,0.425,429.813558,2.71372739,415.213864,5.77E+00,9.83E-14,2.72079703,0.08528716,1.44E-10,152.607438,67.4179114,1.16510151,7549.54336,245.817939,11807.6361,738.6148,11475.6493,0.4823173,9.80774168,1288571.43,TypeII,8.27E-07,25.5714228,1.34813659,147.187368,2.55714228,0.72691074,0.27308926,X,0.20498485,17.5228333,1.31282681,3.2157558,2.22616667,0.38658698,0.94694085,27.5250751,0.38483408,6.74338343,4.72E-08,1.4593201,1392.X.25,0.16577822,1.13269353,0.16577822,0.97219041,1.39098908,3.22901282,0.01641369,0.1291971,-0.7586454,445233.333,3.18E-05
Photoacc,1,1392,fswK,Xenic,25,24,B,X,0.381,0.443,393.262614,2.6043169,375.888089,4.51E+00,2.62E-14,2.65825264,0.07607801,6.36E-11,141.4042,65.7724439,1.13666491,7430.19309,173.372536,12016.4989,473.761201,12182.7932,0.49441719,7.9316149,1288571.43,TypeI,3.63E-07,11.2169329,2.38377848,143.29384,1.12169329,0.85512342,0.14487658,X,0.21902682,17.5228333,1.31282681,3.2157558,2.22616667,0.38658698,0.94694085,28.2155965,0.38486014,6.74384008,2.07E-08,0.64013238,1392.X.25,0.0727188,0.49717987,0.0727188,0.83264322,0.98997002,5.23936039,0.00719988,0.05667245,-0.8512534,445233.333,3.18E-05
Photoacc,1,1392,fswK,Xenic,25,24,C,X,0.3723,0.429,399.913634,2.53911122,382.867667,5.84E+00,2.25E-13,2.55241811,0.08887581,3.66E-10,150.00194,63.226122,1.09265993,7349.85501,208.587482,11897.0471,445.712614,12028.5429,0.48749708,8.35286853,1288571.43,TypeI,5.60E-07,17.3245232,3.1056067,148.476235,1.73245232,0.78504995,0.21495005,X,0.20913625,17.5228333,1.31282681,3.2157558,2.22616667,0.38658698,0.94694085,27.8206767,0.36478246,6.39202232,3.20E-08,0.98868276,1392.X.25,0.11231399,0.76699925,0.11231399,0.78034535,1.02060827,3.314814,0.0111202,0.08753045,-0.7648927,445233.333,3.18E-05
Photoacc,1,1392,fswK,Rice,25,24,A,R,0.7434,0.507,579.31034,2.75494436,572.956668,1.56E+01,4.10E-11,2.50389595,0.10216807,1.50E-09,228.826069,62.3495222,1.07751073,9105.75268,243.150567,9188.30895,400.766353,12832.37,0.32964882,29.6140261,32710000,TypeI,3.44E-07,269.890867,12.8191884,2156.427,26.9890867,0.16775333,0.83224667,R,0.16713195,20.334,2.57085444,6.29728157,3.98916667,0.71040085,1.74011958,16.2117057,0.20961944,4.26240171,1.69E-08,13.2728862,1392.R.25,1.50779494,0.40601947,1.50779494,0.43286001,3.54642679,0.49303787,0.14928663,0.7609595,0.02362053,797833.333,5.69E-05
